key	wordnet_id	synonyms
n02123394	eng-30-02123394-n	
n02123597	eng-30-02123597-n	siamees
n02124075	eng-30-02124075-n	
n02125311	eng-30-02125311-n	bergleeuw, poema
n02127052	eng-30-02127052-n	los, lynx
n02128385	eng-30-02128385-n	luipaard
n02128757	eng-30-02128757-n	sneeuwpanter
n02128925	eng-30-02128925-n	panter, Jaguar, jaguar
n02129165	eng-30-02129165-n	leeuw
n02129604	eng-30-02129604-n	tijger
n02130308	eng-30-02130308-n	cheetah, jachtluipaard
n02132136	eng-30-02132136-n	bruine beer
n02133161	eng-30-02133161-n	Amerikaanse zwarte beer, kraagbeer
n02134084	eng-30-02134084-n	ijsbeer
n02134418	eng-30-02134418-n	
n02137549	eng-30-02137549-n	mangoest, mangoeste
n02138441	eng-30-02138441-n	
n02165105	eng-30-02165105-n	
n02165456	eng-30-02165456-n	lieveheersbeestje, onzelieveheersbeestje
n02167151	eng-30-02167151-n	
n02168699	eng-30-02168699-n	
n02169497	eng-30-02169497-n	goudhaantje
n02172182	eng-30-02172182-n	mestkever
n02174001	eng-30-02174001-n	
n02177972	eng-30-02177972-n	snuitkever
n02190166	eng-30-02190166-n	vlieg
n02206856	eng-30-02206856-n	bij
n02219486	eng-30-02219486-n	mier
n02226429	eng-30-02226429-n	sprinkhaan
n02229544	eng-30-02229544-n	krekel
n02231487	eng-30-02231487-n	[[wandelende]] [[tak]]
n02233338	eng-30-02233338-n	sissende kakkerlak, kakkerlak
n02236044	eng-30-02236044-n	bidsprinkhaan
n02256656	eng-30-02256656-n	cicade, cicaden
n02259212	eng-30-02259212-n	
n02264363	eng-30-02264363-n	gaasje, gaasvlieg
n02268443	eng-30-02268443-n	libel, libellen
n02268853	eng-30-02268853-n	juffer
n02276258	eng-30-02276258-n	
n02277742	eng-30-02277742-n	
n02279972	eng-30-02279972-n	monarchvlinder
n02280649	eng-30-02280649-n	
n02281406	eng-30-02281406-n	
n02281787	eng-30-02281787-n	
n02317335	eng-30-02317335-n	zeester
n02319095	eng-30-02319095-n	zee-egel, zeeëgel
n02321529	eng-30-02321529-n	
n02325366	eng-30-02325366-n	katoenstaartkonijn
n02326432	eng-30-02326432-n	haas, langoor
n02328150	eng-30-02328150-n	
n02342885	eng-30-02342885-n	hamster
n02346627	eng-30-02346627-n	egel, mol, stekelvarken
n02356798	eng-30-02356798-n	
n02361337	eng-30-02361337-n	marmot
n02363005	eng-30-02363005-n	bever
n02364673	eng-30-02364673-n	guinees biggetje
n02389026	eng-30-02389026-n	
n02391049	eng-30-02391049-n	zebra
n02395406	eng-30-02395406-n	krulstaart, varken, zwijn
n02396427	eng-30-02396427-n	everzwijn
n02397096	eng-30-02397096-n	wrattenzwijn, knobbelzwijn
n02398521	eng-30-02398521-n	nijlpaard
n02403003	eng-30-02403003-n	os
n02408429	eng-30-02408429-n	karbauw, karbouw, waterbuffel
n02410509	eng-30-02410509-n	wisent, Europese bizon, bizon
n02412080	eng-30-02412080-n	ram
n02415577	eng-30-02415577-n	dikhoornschaap
n02417914	eng-30-02417914-n	steenbok
n02422106	eng-30-02422106-n	hartenbeest
n02422699	eng-30-02422699-n	impala
n02423022	eng-30-02423022-n	gezelle, gazelle
n02437312	eng-30-02437312-n	dromedaris
n02437616	eng-30-02437616-n	lama
n02441942	eng-30-02441942-n	wezel
n02442845	eng-30-02442845-n	
n02443114	eng-30-02443114-n	bunzing
n02443484	eng-30-02443484-n	
n02444819	eng-30-02444819-n	otter
n02445715	eng-30-02445715-n	stinkdier
n02447366	eng-30-02447366-n	das
n02454379	eng-30-02454379-n	armadillo, gordeldier, pantserdier, schildvarken
n02457408	eng-30-02457408-n	
n02480495	eng-30-02480495-n	orang-oetan, orang-oetan(g)
n02480855	eng-30-02480855-n	gorilla
n02481823	eng-30-02481823-n	chimpansee
n02483362	eng-30-02483362-n	gibbon, langarmaap, langarmapen
n02483708	eng-30-02483708-n	
n02484975	eng-30-02484975-n	meerkat
n02486261	eng-30-02486261-n	
n02486410	eng-30-02486410-n	baviaan
n02487347	eng-30-02487347-n	makaak
n02488291	eng-30-02488291-n	
n02488702	eng-30-02488702-n	
n02489166	eng-30-02489166-n	
n02490219	eng-30-02490219-n	klauwaapje
n02492035	eng-30-02492035-n	kapucijn
n02492660	eng-30-02492660-n	miskleun, blunder, brulaap
n02493509	eng-30-02493509-n	
n02493793	eng-30-02493793-n	
n02494079	eng-30-02494079-n	doodshoofdaapje
n02497673	eng-30-02497673-n	
n02500267	eng-30-02500267-n	
n02504013	eng-30-02504013-n	
n02504458	eng-30-02504458-n	afrikaanse olifant
n02509815	eng-30-02509815-n	pandabeer, panda
n02510455	eng-30-02510455-n	panda, reuzenpanda
n02514041	eng-30-02514041-n	
n02526121	eng-30-02526121-n	paling
n02536864	eng-30-02536864-n	
n02606052	eng-30-02606052-n	
n02607072	eng-30-02607072-n	
n02640242	eng-30-02640242-n	steur
n02641379	eng-30-02641379-n	snoek, geep, zeilvissen
n02643566	eng-30-02643566-n	
n02655020	eng-30-02655020-n	kogelvis
n02666196	eng-30-02666196-n	abacus, rekenraam, telraam
n02667093	eng-30-02667093-n	
n02669723	eng-30-02669723-n	
n02672831	eng-30-02672831-n	harmonica, accordeon
n02676566	eng-30-02676566-n	akoestische gitaar
n02687172	eng-30-02687172-n	carrier, vliegdekschip, vliegtuigmoederschip
n02690373	eng-30-02690373-n	passagiersvliegtuig, lijntoestel, lijnvliegtuig
n02692877	eng-30-02692877-n	luchtschip
n02699494	eng-30-02699494-n	
n02701002	eng-30-02701002-n	ambulance, ziekenwagen
n02704792	eng-30-02704792-n	amfibie, amfibievoertuig
n02708093	eng-30-02708093-n	
n02727426	eng-30-02727426-n	bijenstal
n02730930	eng-30-02730930-n	dienschort, schoot, schort
n02747177	eng-30-02747177-n	vuilnisbak, vuilnisemmer, asbak
n02749479	eng-30-02749479-n	aanvalsgeweer
n02769748	eng-30-02769748-n	knapzak, ransel, rugzak
n02776631	eng-30-02776631-n	bakkerij
n02777292	eng-30-02777292-n	evenwichtsbalk
n02782093	eng-30-02782093-n	ballon
n02783161	eng-30-02783161-n	ballpoint, balpen, kogelpen
n02786058	eng-30-02786058-n	
n02787622	eng-30-02787622-n	banjo
n02788148	eng-30-02788148-n	baluster, leuning, balustrade
n02790996	eng-30-02790996-n	halter
n02791124	eng-30-02791124-n	
n02791270	eng-30-02791270-n	kapper
n02793495	eng-30-02793495-n	hooischuur
n02794156	eng-30-02794156-n	barometer, weerglas
n02795169	eng-30-02795169-n	fust, ton, vaatje, vat
n02797295	eng-30-02797295-n	kruiwagen
n02799071	eng-30-02799071-n	
n02802426	eng-30-02802426-n	basketbal
n02804414	eng-30-02804414-n	
n02804610	eng-30-02804610-n	fagot
n02807133	eng-30-02807133-n	badmuts
n02808304	eng-30-02808304-n	
n02808440	eng-30-02808440-n	bad, badkuip, teil, tobbe, wasteil, wastobbe
n02814533	eng-30-02814533-n	
n02814860	eng-30-02814860-n	kustlicht, lichtbaken, vuurbaak, vuurbaken, vuurtoren
n02815834	eng-30-02815834-n	bekerglas
n02817516	eng-30-02817516-n	kolbak, beremuts, berenmuts, huzarenmuts
n02823428	eng-30-02823428-n	bierfles, pijpje
n02823750	eng-30-02823750-n	bierglas
n02825657	eng-30-02825657-n	
n02834397	eng-30-02834397-n	borstje, salopette
n02835271	eng-30-02835271-n	tandem
n02837789	eng-30-02837789-n	bikini
n02840245	eng-30-02840245-n	verzamelband
n02841315	eng-30-02841315-n	toneelkijker, verrekijker, binocle, binoculair, kijker, veldkijker
n02843684	eng-30-02843684-n	columbarium, nestkastje, vogelhuisje, vogelkastje
n02859443	eng-30-02859443-n	botenhuis
n02860847	eng-30-02860847-n	bob, bobslee
n02865351	eng-30-02865351-n	
n02869837	eng-30-02869837-n	
n02870880	eng-30-02870880-n	boekenkast
n02871525	eng-30-02871525-n	boekenwinkel, boekhandel, boekwinkel
n02877765	eng-30-02877765-n	
n02879718	eng-30-02879718-n	
n02883205	eng-30-02883205-n	strikje, vlinderdas
n02892201	eng-30-02892201-n	gedenksteen, plaket, plateau
n02892767	eng-30-02892767-n	b.h., beha, bh, bustehouder
n02894605	eng-30-02894605-n	krib, steiger, zeewering, zeedijk, breekwater, havendam, golfbreker, landhoofd, paalhoofd, pier, zeebreker, zeehoofd
n02895154	eng-30-02895154-n	borstplaat, borstschild
n02906734	eng-30-02906734-n	bezem
n02909870	eng-30-02909870-n	emmer
n02910353	eng-30-02910353-n	gesp
n02916936	eng-30-02916936-n	
n02917067	eng-30-02917067-n	
n02927161	eng-30-02927161-n	beenhouwerij, charcuterie, slagerij
n02930766	eng-30-02930766-n	taxi
n02939185	eng-30-02939185-n	kookketel, ketel
n02948072	eng-30-02948072-n	kaars
n02950826	eng-30-02950826-n	
n02951358	eng-30-02951358-n	kano
n02951585	eng-30-02951585-n	blikopener
n02963159	eng-30-02963159-n	vest
n02965783	eng-30-02965783-n	
n02966193	eng-30-02966193-n	carrousel, draaimolen, mallemolen, paardenmolen, zweef, zweefmolen, zwiermolen
n02966687	eng-30-02966687-n	
n02971356	eng-30-02971356-n	
n02974003	eng-30-02974003-n	
n02977058	eng-30-02977058-n	bankautomaat, geldautomaat, gelduitgifteautomaat, giromaat
n02978881	eng-30-02978881-n	cassette
n02979186	eng-30-02979186-n	
n02980441	eng-30-02980441-n	fort, burcht, burg, kasteel, slot, steen
n02981792	eng-30-02981792-n	katamaran
n02988304	eng-30-02988304-n	C.D.-speler, cd-speler, compact-discspeler
n02992211	eng-30-02992211-n	violoncello, cello
n02992529	eng-30-02992529-n	telefoon, mobiele telefoon
n02999410	eng-30-02999410-n	ketting, keten
n03000134	eng-30-03000134-n	
n03000247	eng-30-03000247-n	maliënkolder
n03000684	eng-30-03000684-n	boomzaag, motorkettingzaag, motorzaag, kettingzaag
n03014705	eng-30-03014705-n	kist
n03016953	eng-30-03016953-n	
n03017168	eng-30-03017168-n	klok
n03018349	eng-30-03018349-n	porseleinkast
n03026506	eng-30-03026506-n	
n03028079	eng-30-03028079-n	godshuis, kerk, kerkgebouw
n03032252	eng-30-03032252-n	bios, bioscoop, cinema, filmtheater
n03041632	eng-30-03041632-n	hakmes, mes
n03042490	eng-30-03042490-n	
n03045698	eng-30-03045698-n	
n03047690	eng-30-03047690-n	holsblok, klomp, klompschoen, schoenklomp
n03062245	eng-30-03062245-n	
n03063599	eng-30-03063599-n	
n03063689	eng-30-03063689-n	koffiepot
n03065424	eng-30-03065424-n	schroef, helix, krul, schroeflijn, spiraal, spiraallijn
n03075370	eng-30-03075370-n	cijferslot, combinatieslot, letterslot, nummerslot
n03085013	eng-30-03085013-n	
n03089624	eng-30-03089624-n	banketbakkerij, snoepwinkel
n03095699	eng-30-03095699-n	containerschip
n03100240	eng-30-03100240-n	cabrio, cabriolet
n03109150	eng-30-03109150-n	kurkentrekker, kurketrekker, trekker
n03110669	eng-30-03110669-n	cornet, kornet, trompet
n03124043	eng-30-03124043-n	
n03124170	eng-30-03124170-n	tien-gallon_hat
n03125729	eng-30-03125729-n	bakermat, wieg
n03126707	eng-30-03126707-n	hefkraan, hijskraan, kraan
n03127747	eng-30-03127747-n	bromfietshelm, motorhelm, valhelm
n03127925	eng-30-03127925-n	krat
n03131574	eng-30-03131574-n	kinderbed, wieg
n03133878	eng-30-03133878-n	
n03134739	eng-30-03134739-n	
n03141823	eng-30-03141823-n	
n03146219	eng-30-03146219-n	harnas, kuras
n03160309	eng-30-03160309-n	stuwdam, dam, dijk, waterdam, waterkering
n03179701	eng-30-03179701-n	lessenaar, schrijftafel, bureau
n03180011	eng-30-03180011-n	
n03187595	eng-30-03187595-n	draaitoestel
n03188531	eng-30-03188531-n	luier
n03196217	eng-30-03196217-n	
n03197337	eng-30-03197337-n	
n03201208	eng-30-03201208-n	
n03207743	eng-30-03207743-n	schotelvod, schoteldoek, vaatdoek, vod, wisdoek
n03207941	eng-30-03207941-n	afwasautomaat, vaatwasser, afwasmachine, vaatwasmachine
n03208938	eng-30-03208938-n	schijfrem
n03216828	eng-30-03216828-n	dok
n03218198	eng-30-03218198-n	
n03220513	eng-30-03220513-n	
n03223299	eng-30-03223299-n	deurmat, vloermat, voetmat
n03240683	eng-30-03240683-n	
n03249569	eng-30-03249569-n	drum, kalfsvel, trom, trommel
n03250847	eng-30-03250847-n	drumstok, drumstokje, trommelstok
n03255030	eng-30-03255030-n	
n03259280	eng-30-03259280-n	
n03271574	eng-30-03271574-n	
n03272010	eng-30-03272010-n	elektrische gitaar
n03272562	eng-30-03272562-n	elektrische locomotief
n03290653	eng-30-03290653-n	
n03291819	eng-30-03291819-n	couvert, briefomslag, envelop, enveloppe, omslag
n03297495	eng-30-03297495-n	
n03314780	eng-30-03314780-n	
n03325584	eng-30-03325584-n	
n03337140	eng-30-03337140-n	archiefkast
n03344393	eng-30-03344393-n	
n03345487	eng-30-03345487-n	brandweerauto, brandweerwagen, brandspuit, waterspuit
n03347037	eng-30-03347037-n	
n03355925	eng-30-03355925-n	vlaggenstok, vlaggestok
n03372029	eng-30-03372029-n	dwarsfluit, fluit
n03376595	eng-30-03376595-n	klapstoel
n03379051	eng-30-03379051-n	
n03384352	eng-30-03384352-n	heftruck, vorkheftruck
n03388043	eng-30-03388043-n	fontein, fonteintje
n03388183	eng-30-03388183-n	vulpen
n03388549	eng-30-03388549-n	hemelbed
n03393912	eng-30-03393912-n	goederenwagen, goederenwagon
n03394916	eng-30-03394916-n	hoorn, horen, waldhoorn
n03400231	eng-30-03400231-n	braadpan, bakpan, hapjespan, koekenpan
n03404251	eng-30-03404251-n	bontjas, bontmantel
n03417042	eng-30-03417042-n	vuilniswagen
n03424325	eng-30-03424325-n	gasmasker
n03425413	eng-30-03425413-n	benzinepomp
n03443371	eng-30-03443371-n	
n03444034	eng-30-03444034-n	
n03445777	eng-30-03445777-n	
n03445924	eng-30-03445924-n	
n03447447	eng-30-03447447-n	gondel
n03447721	eng-30-03447721-n	tamtam
n03450230	eng-30-03450230-n	gewaad
n03452741	eng-30-03452741-n	vleugelpiano, vleugel
n03457902	eng-30-03457902-n	broeikas, kas, serre
n03459775	eng-30-03459775-n	
n03461385	eng-30-03461385-n	kruidenier
n03467068	eng-30-03467068-n	guillotine
n03476684	eng-30-03476684-n	
n03476991	eng-30-03476991-n	
n03478589	eng-30-03478589-n	
n03481172	eng-30-03481172-n	vuisthamer, vuist, hamer
n03482405	eng-30-03482405-n	korf, sluitmand, pakmand
n03483316	eng-30-03483316-n	föhn, haardroger
n03485407	eng-30-03485407-n	
n03485794	eng-30-03485794-n	zardock, zakdoek
n03492542	eng-30-03492542-n	vaste schijf, hard disk, harddisk
n03494278	eng-30-03494278-n	harmonica, mondharmonica, mondharmonika, mondorgel
n03495258	eng-30-03495258-n	harp
n03496892	eng-30-03496892-n	
n03498962	eng-30-03498962-n	bijl, hakbijl
n03527444	eng-30-03527444-n	holster, revolvertas
n03529860	eng-30-03529860-n	
n03530642	eng-30-03530642-n	
n03532672	eng-30-03532672-n	haak, haakje
n03534580	eng-30-03534580-n	crinoline, hoepelrok
n03535780	eng-30-03535780-n	
n03538406	eng-30-03538406-n	
n03544143	eng-30-03544143-n	zandloper
n03584254	eng-30-03584254-n	iPod
n03584829	eng-30-03584829-n	strijkijzer
n03590841	eng-30-03590841-n	
n03594734	eng-30-03594734-n	jeansbroek, blue jeans, jeans, spijkerbroek
n03594945	eng-30-03594945-n	land Rover
n03595614	eng-30-03595614-n	T-shirt, t-shirt
n03598930	eng-30-03598930-n	puzzel, legpuzzel
n03599486	eng-30-03599486-n	betjah, fietstaxi, riksja
n03602883	eng-30-03602883-n	stuurknuppel, bedieningshendel
n03617480	eng-30-03617480-n	kimono
n03623198	eng-30-03623198-n	
n03627232	eng-30-03627232-n	
n03630383	eng-30-03630383-n	
n03633091	eng-30-03633091-n	sauslepel, soeplepel, juslepel, opscheplepel
n03637318	eng-30-03637318-n	lampekap, lampenkap
n03642806	eng-30-03642806-n	laptop, notebook, schootcomputer
n03649909	eng-30-03649909-n	maaier, grasmaaimachine, grasmaaier
n03657121	eng-30-03657121-n	lensklep, lenskap, oogschelp
n03658185	eng-30-03658185-n	briefopener, papiermes, vouwbeen
n03661043	eng-30-03661043-n	boekerij, bibliotheek
n03662601	eng-30-03662601-n	reddingsboot, vlot
n03666591	eng-30-03666591-n	vuurtje, aansteker
n03670208	eng-30-03670208-n	limo, limousin, limousine
n03673027	eng-30-03673027-n	
n03676483	eng-30-03676483-n	lippenrood, lippenstift
n03680355	eng-30-03680355-n	leegloper
n03690938	eng-30-03690938-n	lotion
n03691459	eng-30-03691459-n	loudspeaker, luidspreker, speaker
n03692522	eng-30-03692522-n	loep
n03697007	eng-30-03697007-n	houtzagerij, zagerij
n03706229	eng-30-03706229-n	
n03709823	eng-30-03709823-n	postzak
n03710193	eng-30-03710193-n	brievenbus
n03710637	eng-30-03710637-n	
n03710721	eng-30-03710721-n	
