key	wordnet_id	synonyms	provenance
n01644900	eng-30-01644900-n	ascaphus, bell pad, geribbelde pad, tailed pad, Ascaphus trui	google_translate
n01664065	eng-30-01664065-n	onechte, onechte karetschildpad, Caretta Caretta	google_translate
n01665541	eng-30-01665541-n	lederschildpad, lederschildpad, leerachtige schildpad, Dermochelys coriacea	google_translate
n01667114	eng-30-01667114-n	modderschildpad	google_translate
n01667778	eng-30-01667778-n	moerasschildpad	odwn
n01669191	eng-30-01669191-n	doosschildpad, doos schildpad	google_translate
n01675722	eng-30-01675722-n	gestreepte gekko	google_translate
n01677366	eng-30-01677366-n	leguaan, iguana	odwn
n01682714	eng-30-01682714-n	Amerikaanse kameleon, anole, Anolis carolinensis	google_translate
n01685808	eng-30-01685808-n	whiptail, whiptail hagedis	google_translate
n01687978	eng-30-01687978-n	agama	google_translate
n01688243	eng-30-01688243-n	kraaghagedis, Chlamydosaurus kingi	google_translate
n01689811	eng-30-01689811-n	krokodillehagedis	google_translate
n01692333	eng-30-01692333-n	gilamonster	odwn
n01693334	eng-30-01693334-n	groene hagedis, Lacerta viridis	google_translate
n01694178	eng-30-01694178-n	Afrikaanse kameleon, Chamaeleo chamaeleon	google_translate
n01695060	eng-30-01695060-n	komodovaraan	odwn
n01697457	eng-30-01697457-n	Afrikaanse krokodil, Nijlkrokodil, Crocodylus niloticus	google_translate
n01698640	eng-30-01698640-n	Amerikaanse alligator, alligator Mississipiensis	google_translate
n01704323	eng-30-01704323-n	triceratops	odwn
n01728572	eng-30-01728572-n	donder slang, worm slang, carphophis amoenus	google_translate
n01728920	eng-30-01728920-n	ringneck slang, ringnekslang, ring slang	google_translate
n01729322	eng-30-01729322-n	slang Hognose, pofadder, zandadder	google_translate
n01729977	eng-30-01729977-n	groene slang, ringslang	google_translate
n01734418	eng-30-01734418-n	king snake, kingsnake	google_translate
n01735189	eng-30-01735189-n	kousenbandslang, ringslang	google_translate
n01737021	eng-30-01737021-n	Waterslang	google_translate
n01739381	eng-30-01739381-n	twijgslang	google_translate
n01740131	eng-30-01740131-n	nacht slang, hypsiglena torquata	google_translate
n01742172	eng-30-01742172-n	reuzenslang, constrictor constrictor	google_translate
n01744401	eng-30-01744401-n	rots python, rots slang, Python sebae	google_translate
n01748264	eng-30-01748264-n	Indian cobra, Naja naja	google_translate
n01749939	eng-30-01749939-n	groene mamba	google_translate
n01751748	eng-30-01751748-n	zeeslang	google_translate
n01753488	eng-30-01753488-n	gehoornde adder, adder, zandadder, gehoornde asp, cerastes cornutus	google_translate
n01755581	eng-30-01755581-n	diamondback, diamondbackratelslang, Crotalus adamanteus	google_translate
n01756291	eng-30-01756291-n	slag van terzijde, gehoornde ratelslang, hoornratelslang	google_translate
n01768244	eng-30-01768244-n	trilobite	google_translate
n01770081	eng-30-01770081-n	hooiwagen	odwn
n01770393	eng-30-01770393-n	schorpioen	odwn
n01773157	eng-30-01773157-n	zwart en goud kruisspin, argiope aurantia	google_translate
n01773549	eng-30-01773549-n	schuur spider, Araneus cavaticus	google_translate
n01773797	eng-30-01773797-n	kruisspin, Aranea diademata	google_translate
n01774384	eng-30-01774384-n	zwarte weduwe	odwn
n01774750	eng-30-01774750-n	vogelspin, tarantula	odwn
n01775062	eng-30-01775062-n	wolf spider, jacht spider	google_translate
n01776313	eng-30-01776313-n	teek	odwn
n01784675	eng-30-01784675-n	duizendpoot	odwn
n01795545	eng-30-01795545-n	korhoen	odwn
n01796340	eng-30-01796340-n	patrijs, sneeuwhoen	odwn
n01797886	eng-30-01797886-n	ruffed hoen, patrijs, Bonasa umbellus	google_translate
n01798484	eng-30-01798484-n	prairiekip, prairie hoen, prairie gevogelte	google_translate
n01806143	eng-30-01806143-n	pauwhaan, pauw	odwn
n01806567	eng-30-01806567-n	kwartel	odwn
n01807496	eng-30-01807496-n	hoen, hoentje, patrijs	odwn
n01817953	eng-30-01817953-n	Afrikaanse grijze, Afrikaanse grijze, Psittacus erithacus	google_translate
n01818515	eng-30-01818515-n	ara	odwn
n01819313	eng-30-01819313-n	Zwavel kuifkaketoe, Kakatoe galerita, Cacatua galerita	google_translate
n01820546	eng-30-01820546-n	lori	google_translate
n01824575	eng-30-01824575-n	coucal	google_translate
n01828970	eng-30-01828970-n	bijeneter	google_translate
n01829413	eng-30-01829413-n	neushoornvogel	google_translate
n01833805	eng-30-01833805-n	kolibrie	odwn
n01843065	eng-30-01843065-n	jacamar	google_translate
n01843383	eng-30-01843383-n	toekan	odwn
n01847000	eng-30-01847000-n	mannetjeseend, waard, woerd	odwn
n01855032	eng-30-01855032-n	middelste zaagbek, Mergus serrator	google_translate
n01855672	eng-30-01855672-n	gans	google_translate
n01860187	eng-30-01860187-n	zwarte zwaan, Cygnus atratus	google_translate
n01871265	eng-30-01871265-n	olifant met grote slagtanden	odwn
n01872401	eng-30-01872401-n	mierenegel	odwn
n01873310	eng-30-01873310-n	vogelbekdier	odwn
n01877812	eng-30-01877812-n	wallabie, wallaby	odwn
n01882714	eng-30-01882714-n	koalabeertje, koalabeer, koala	odwn
n01883070	eng-30-01883070-n	wombat	odwn
n01910747	eng-30-01910747-n	kwal	odwn
n01914609	eng-30-01914609-n	zeeanemoon, anemoon	google_translate
n01917289	eng-30-01917289-n	hersenenkoraal	google_translate
n01924916	eng-30-01924916-n	platwormen, platworm	odwn
n01930112	eng-30-01930112-n	nematoda, rondworm, aaltjes	odwn
n01943899	eng-30-01943899-n	schelp, hoorn	odwn
n01944390	eng-30-01944390-n	huisjesslak, slak	odwn
n01945685	eng-30-01945685-n	slak	odwn
n01950731	eng-30-01950731-n	zeeslak, naaktslak	google_translate
n01955084	eng-30-01955084-n	chiton, coat-of-mail shell, zee cradle, polyplacophore	google_translate
n01968897	eng-30-01968897-n	chambered nautilus, parelachtige nautilus, nautilus	google_translate
n01978287	eng-30-01978287-n	dungenesskrab, Cancer magister	google_translate
n01978455	eng-30-01978455-n	rotskrab, cancer irroratus	google_translate
n01980166	eng-30-01980166-n	fiddlerkrab	google_translate
n01981276	eng-30-01981276-n	koning krab, Alaska krab, Koningskrab Van Alaska, Alaska king krab, Paralithodes camtschatica	google_translate
n01983481	eng-30-01983481-n	Amerikaanse kreeft, Northern kreeft, Maine kreeft, Homarus americanus	google_translate
n01984695	eng-30-01984695-n	langoest, langouste, steen kreeft, rivierkreeft, rivierkreeft, langoesten	google_translate
n01985128	eng-30-01985128-n	rivierkreeft	odwn
n01986214	eng-30-01986214-n	heremiet, heremietkreeft	odwn
n01990800	eng-30-01990800-n	isopod	google_translate
n02002556	eng-30-02002556-n	ooievaar	odwn
n02002724	eng-30-02002724-n	zwarte ooievaar, Ciconia nigra	google_translate
n02006656	eng-30-02006656-n	lepelaar	odwn
n02007558	eng-30-02007558-n	flamingo	odwn
n02009229	eng-30-02009229-n	weinig blauwe reiger, Egretta caerulea	google_translate
n02009912	eng-30-02009912-n	Amerikaanse zilverreiger, grote witte reiger, Egretta albus	google_translate
n02011460	eng-30-02011460-n	roerdomp	odwn
n02012849	eng-30-02012849-n	hijskraan, kraanvogel	odwn
n02013706	eng-30-02013706-n	limpkin, Aramus pictus	google_translate
n02017213	eng-30-02017213-n	Europese gallinule, Porphyrio porphyrio	google_translate
n02018207	eng-30-02018207-n	Amerikaanse Koet, moeras kip, modder duivin, waterhoen, Fulica americana	google_translate
n02018795	eng-30-02018795-n	trapgans, trap	odwn
n02025239	eng-30-02025239-n	Steenloper, arenaria interpres	google_translate
n02027492	eng-30-02027492-n	-Red-backed strandloper, dunlin, Erolia alpina	google_translate
n02028035	eng-30-02028035-n	perzikkruid, tringatotanus	google_translate
n02033041	eng-30-02033041-n	Dowitcher	google_translate
n02037110	eng-30-02037110-n	scholekster	odwn
n02051845	eng-30-02051845-n	pelikaan	odwn
n02056570	eng-30-02056570-n	koningspinguïn	odwn
n02058221	eng-30-02058221-n	albatros	odwn
n02066245	eng-30-02066245-n	grijze walvis, grijze walvis, devilfish, Eschrichtius gibbosus, Eschrichtius robustus	google_translate
n02071294	eng-30-02071294-n	orka	odwn
n02074367	eng-30-02074367-n	doejong	odwn
n02077923	eng-30-02077923-n	zeeleeuw	odwn
n02085620	eng-30-02085620-n	chihuahua	odwn
n02085782	eng-30-02085782-n	Japanse spaniel	google_translate
n02085936	eng-30-02085936-n	Maltese	odwn
n02086079	eng-30-02086079-n	pekinese, Pekinees, Peke	google_translate
n02086240	eng-30-02086240-n	Shih-Tzu	google_translate
n02086646	eng-30-02086646-n	Blenheim spaniel	google_translate
n02086910	eng-30-02086910-n	papillon	google_translate
n02087046	eng-30-02087046-n	stuk speelgoed terriër	google_translate
n02087394	eng-30-02087394-n	Rhodesian ridgeback	google_translate
n02088094	eng-30-02088094-n	Afghaanse windhond	odwn
n02088238	eng-30-02088238-n	brak	odwn
n02088364	eng-30-02088364-n	snuffelaar, beagle, brak	odwn
n02088466	eng-30-02088466-n	bloedhond, speurhond	google_translate
n02088632	eng-30-02088632-n	bluetick	google_translate
n02089078	eng-30-02089078-n	black-and-tan coonhound	google_translate
n02089867	eng-30-02089867-n	Walker hound, Walker foxhound	google_translate
n02089973	eng-30-02089973-n	Engels foxhound	google_translate
n02090379	eng-30-02090379-n	redbone	google_translate
n02090622	eng-30-02090622-n	borzoi, Russische wolfshond	google_translate
n02090721	eng-30-02090721-n	trillen op zijn benen	odwn
n02091032	eng-30-02091032-n	Italiaanse windhond	google_translate
n02091134	eng-30-02091134-n	whippet	google_translate
n02091244	eng-30-02091244-n	ibizan, Ibizan Podenco	google_translate
n02091467	eng-30-02091467-n	Noorse elkhound, elkhound	google_translate
n02091635	eng-30-02091635-n	hond voor jacht op otters	odwn
n02091831	eng-30-02091831-n	Saluki, gazelle hound	google_translate
n02092002	eng-30-02092002-n	Scottish deerhound, deerhound	google_translate
n02092339	eng-30-02092339-n	Weimaraner	google_translate
n02093256	eng-30-02093256-n	Staffordshire bullterrier, Staffordshire bull terrier	google_translate
n02093428	eng-30-02093428-n	pitbullterriër	odwn
n02093647	eng-30-02093647-n	bedlingtonterriër	google_translate
n02093754	eng-30-02093754-n	Border terrier	google_translate
n02093859	eng-30-02093859-n	Kerry blue terrier	google_translate
n02093991	eng-30-02093991-n	Ierse terriër	google_translate
n02094114	eng-30-02094114-n	Norfolk terrier	google_translate
n02094258	eng-30-02094258-n	Norwich terrier	google_translate
n02094433	eng-30-02094433-n	Yorkshire terrier	google_translate
n02095314	eng-30-02095314-n	ruwhaar fox terrier	google_translate
n02095570	eng-30-02095570-n	Lakeland terrier	google_translate
n02095889	eng-30-02095889-n	Sealyham Terrier, sealyham	google_translate
n02096051	eng-30-02096051-n	Airedale, airedaleterriër	google_translate
n02096177	eng-30-02096177-n	steenhoop, steenhoopterriër	google_translate
n02096294	eng-30-02096294-n	Australian terrier	google_translate
n02096437	eng-30-02096437-n	Dinmont, Dinmont terriër	google_translate
n02096585	eng-30-02096585-n	Boston bull, Boston terrier	google_translate
n02097047	eng-30-02097047-n	miniatuur schnauzer	google_translate
n02097130	eng-30-02097130-n	giant schnauzer	google_translate
n02097209	eng-30-02097209-n	standard schnauzer	google_translate
n02097298	eng-30-02097298-n	Schotse terriër	odwn
n02097474	eng-30-02097474-n	Tibetaanse terriër, chrysant hond	google_translate
n02097658	eng-30-02097658-n	zijdeachtige terriër, Sydney zijdeachtig	google_translate
n02098105	eng-30-02098105-n	soft-coated wheaten terrier	google_translate
n02098286	eng-30-02098286-n	West Highland white terriër	google_translate
n02098413	eng-30-02098413-n	Lhasa, Lhasa apso	google_translate
n02099267	eng-30-02099267-n	vlak beklede retriever	google_translate
n02099429	eng-30-02099429-n	Curly coated retriever	google_translate
n02099601	eng-30-02099601-n	golden retriever	odwn
n02099712	eng-30-02099712-n	labrador retriever	google_translate
n02099849	eng-30-02099849-n	Chesapeake Bay retriever	google_translate
n02100236	eng-30-02100236-n	Duitse kortharige wijzer	google_translate
n02100583	eng-30-02100583-n	vizsla, Hongaarse pointer	google_translate
n02100735	eng-30-02100735-n	Engels setter	google_translate
n02100877	eng-30-02100877-n	Ierse setter	odwn
n02101006	eng-30-02101006-n	Gordon setter	google_translate
n02101388	eng-30-02101388-n	Brittany spaniel	google_translate
n02101556	eng-30-02101556-n	clumber, clumber spaniel	google_translate
n02102040	eng-30-02102040-n	Engels springer, Engels springer spaniel	google_translate
n02102177	eng-30-02102177-n	Welsh springer spaniel	google_translate
n02102318	eng-30-02102318-n	Cocker spaniel, Engels cocker spaniel, cocker	google_translate
n02102480	eng-30-02102480-n	Sussex spaniel	google_translate
n02102973	eng-30-02102973-n	Ierse water spaniel	google_translate
n02104029	eng-30-02104029-n	kuvasz	google_translate
n02104365	eng-30-02104365-n	schippersklokje, schippertje	odwn
n02105056	eng-30-02105056-n	groenendael	google_translate
n02105162	eng-30-02105162-n	Mechelaar	google_translate
n02105251	eng-30-02105251-n	briard	google_translate
n02105412	eng-30-02105412-n	kelpie	google_translate
n02105505	eng-30-02105505-n	komondor	odwn
n02105641	eng-30-02105641-n	Oude Engels herdershond, kortstaart	google_translate
n02105855	eng-30-02105855-n	De herdershond van Shetland, Shetland schapen hond, Shetland	google_translate
n02106030	eng-30-02106030-n	collie	google_translate
n02106166	eng-30-02106166-n	Border collie	google_translate
n02106382	eng-30-02106382-n	Bouvier, Vlaamse Koehond	google_translate
n02106550	eng-30-02106550-n	Rottweiler	google_translate
n02106662	eng-30-02106662-n	Duitse herdershond	odwn
n02107142	eng-30-02107142-n	Doberman, doberman	google_translate
n02107312	eng-30-02107312-n	dwergpinscher	odwn
n02107574	eng-30-02107574-n	Greater hond Swiss Mountain	google_translate
n02107683	eng-30-02107683-n	Berner Sennenhond	google_translate
n02107908	eng-30-02107908-n	Appenzeller	google_translate
n02108000	eng-30-02108000-n	Entlebucher	google_translate
n02108089	eng-30-02108089-n	boxer, pugilist, vuistvechter, bokser	odwn
n02108422	eng-30-02108422-n	bull mastiff	google_translate
n02108551	eng-30-02108551-n	Tibetaanse mastiff	odwn
n02108915	eng-30-02108915-n	Franse bulldog	google_translate
n02109047	eng-30-02109047-n	Deense dog	google_translate
n02109525	eng-30-02109525-n	Sint Bernard, St Bernard	google_translate
n02109961	eng-30-02109961-n	sledehond	odwn
n02110063	eng-30-02110063-n	malamute, malemute, Alaskan malamute	google_translate
n02110185	eng-30-02110185-n	Siberische husky	odwn
n02110341	eng-30-02110341-n	dalmatiër, Dalmatische	odwn
n02110627	eng-30-02110627-n	affenpinscher, aap pinscher, aap hond	google_translate
n02110806	eng-30-02110806-n	basenji	google_translate
n02110958	eng-30-02110958-n	mops, mopshond	odwn
n02111129	eng-30-02111129-n	Leonberg	google_translate
n02111277	eng-30-02111277-n	Newfoundland, newfoundland	google_translate
n02111500	eng-30-02111500-n	De grote Pyreneeën	google_translate
n02111889	eng-30-02111889-n	Samojeed	odwn
n02112018	eng-30-02112018-n	Pommers	odwn
n02112137	eng-30-02112137-n	eten	odwn
n02112350	eng-30-02112350-n	keeshond	odwn
n02112706	eng-30-02112706-n	Brabancon vale	google_translate
n02113023	eng-30-02113023-n	Pembroke, Pembroke Welsh corgi	google_translate
n02113186	eng-30-02113186-n	Cardigan, Cardigan Welsh corgi	google_translate
n02113624	eng-30-02113624-n	toy poedel	google_translate
n02113712	eng-30-02113712-n	miniatuur poedel	google_translate
n02113799	eng-30-02113799-n	standaard poedel	google_translate
n02113978	eng-30-02113978-n	Mexicaanse naakthond	google_translate
n02114367	eng-30-02114367-n	wolf	odwn
n02114548	eng-30-02114548-n	witte wolf	odwn
n02114712	eng-30-02114712-n	rode wolf, maned wolf, Canis rufus, canis niger	google_translate
n02114855	eng-30-02114855-n	coyote, prairiewolf	odwn
n02115641	eng-30-02115641-n	dingo	odwn
n02115913	eng-30-02115913-n	wildhond, Cuon alpinus	google_translate
n02116738	eng-30-02116738-n	Afrikaanse jachthond, hyena hond, Cape jachthond, pictus Lycaon	google_translate
n02117135	eng-30-02117135-n	hyena	odwn
n02119022	eng-30-02119022-n	rode vos, vulpes vulpes	google_translate
n02119789	eng-30-02119789-n	kit fox, vulpes macrotis	google_translate
n02120079	eng-30-02120079-n	poolvos, witte vos, Alopex lagopus	google_translate
n02120505	eng-30-02120505-n	grijze vos, grijze vos, Urocyon cinereoargenteus	google_translate
n02123045	eng-30-02123045-n	gestreept, tabby kat	google_translate
n02123159	eng-30-02123159-n	tijgerkat	google_translate
n02123394	eng-30-02123394-n	Perzische kat	google_translate
n02123597	eng-30-02123597-n	siamees	odwn
n02124075	eng-30-02124075-n	Egyptische kat	google_translate
n02125311	eng-30-02125311-n	bergleeuw, poema	odwn
n02127052	eng-30-02127052-n	los, lynx	odwn
n02128385	eng-30-02128385-n	luipaard	odwn
n02128757	eng-30-02128757-n	sneeuwpanter	odwn
n02128925	eng-30-02128925-n	panter, Jaguar, jaguar	odwn
n02129165	eng-30-02129165-n	leeuw	odwn
n02129604	eng-30-02129604-n	tijger	odwn
n02130308	eng-30-02130308-n	cheetah, jachtluipaard	odwn
n02132136	eng-30-02132136-n	bruine beer	odwn
n02133161	eng-30-02133161-n	Amerikaanse zwarte beer, kraagbeer	odwn
n02134084	eng-30-02134084-n	ijsbeer	odwn
n02134418	eng-30-02134418-n	luiaard beer, Melursus ursinus, Ursus ursinus	google_translate
n02137549	eng-30-02137549-n	mangoest, mangoeste	odwn
n02138441	eng-30-02138441-n	meerkat, mierkat	google_translate
n02165105	eng-30-02165105-n	tijgerkever	google_translate
n02165456	eng-30-02165456-n	lieveheersbeestje, onzelieveheersbeestje	odwn
n02167151	eng-30-02167151-n	loopkever, carabid kever	google_translate
n02168699	eng-30-02168699-n	boktor, longicorn, longicorn kever	google_translate
n02169497	eng-30-02169497-n	goudhaantje	odwn
n02172182	eng-30-02172182-n	mestkever	odwn
n02174001	eng-30-02174001-n	neushoorn kever	google_translate
n02177972	eng-30-02177972-n	snuitkever	odwn
n02190166	eng-30-02190166-n	vlieg	odwn
n02206856	eng-30-02206856-n	bij	odwn
n02219486	eng-30-02219486-n	mier	odwn
n02226429	eng-30-02226429-n	sprinkhaan	odwn
n02229544	eng-30-02229544-n	krekel	odwn
n02231487	eng-30-02231487-n	[[wandelende]] [[tak]]	odwn
n02233338	eng-30-02233338-n	sissende kakkerlak, kakkerlak	odwn
n02236044	eng-30-02236044-n	bidsprinkhaan	odwn
n02256656	eng-30-02256656-n	cicade, cicaden	odwn
n02259212	eng-30-02259212-n	cicade	google_translate
n02264363	eng-30-02264363-n	gaasje, gaasvlieg	odwn
n02268443	eng-30-02268443-n	libel, libellen	odwn
n02268853	eng-30-02268853-n	juffer	odwn
n02276258	eng-30-02276258-n	admiraal	google_translate
n02277742	eng-30-02277742-n	ringetje, lok vlinder	google_translate
n02279972	eng-30-02279972-n	monarchvlinder	odwn
n02280649	eng-30-02280649-n	koolwitje	google_translate
n02281406	eng-30-02281406-n	zwavel vlinder, zwavel vlinder	google_translate
n02281787	eng-30-02281787-n	lycaenid, lycaenid vlinder	google_translate
n02317335	eng-30-02317335-n	zeester	odwn
n02319095	eng-30-02319095-n	zee-egel, zeeëgel	odwn
n02321529	eng-30-02321529-n	zeekomkommer, Holothurian	google_translate
n02325366	eng-30-02325366-n	katoenstaartkonijn	odwn
n02326432	eng-30-02326432-n	haas, langoor	odwn
n02328150	eng-30-02328150-n	Angora, Angora konijn	google_translate
n02342885	eng-30-02342885-n	hamster	odwn
n02346627	eng-30-02346627-n	egel, mol, stekelvarken	odwn
n02356798	eng-30-02356798-n	vos eekhoorn, oostelijk eekhoorn vos, Sciurus Niger	google_translate
n02361337	eng-30-02361337-n	marmot	odwn
n02363005	eng-30-02363005-n	bever	odwn
n02364673	eng-30-02364673-n	guinees biggetje	odwn
n02389026	eng-30-02389026-n	zuring	google_translate
n02391049	eng-30-02391049-n	zebra	odwn
n02395406	eng-30-02395406-n	krulstaart, varken, zwijn	odwn
n02396427	eng-30-02396427-n	everzwijn	odwn
n02397096	eng-30-02397096-n	wrattenzwijn, knobbelzwijn	odwn
n02398521	eng-30-02398521-n	nijlpaard	odwn
n02403003	eng-30-02403003-n	os	odwn
n02408429	eng-30-02408429-n	karbauw, karbouw, waterbuffel	odwn
n02410509	eng-30-02410509-n	wisent, Europese bizon, bizon	odwn
n02412080	eng-30-02412080-n	ram	odwn
n02415577	eng-30-02415577-n	dikhoornschaap	odwn
n02417914	eng-30-02417914-n	steenbok	odwn
n02422106	eng-30-02422106-n	hartenbeest	odwn
n02422699	eng-30-02422699-n	impala	odwn
n02423022	eng-30-02423022-n	gezelle, gazelle	odwn
n02437312	eng-30-02437312-n	dromedaris	odwn
n02437616	eng-30-02437616-n	lama	odwn
n02441942	eng-30-02441942-n	wezel	odwn
n02442845	eng-30-02442845-n	nerts	google_translate
n02443114	eng-30-02443114-n	bunzing	odwn
n02443484	eng-30-02443484-n	black-footed fret, fret, Mustela nigripes	google_translate
n02444819	eng-30-02444819-n	otter	odwn
n02445715	eng-30-02445715-n	stinkdier	odwn
n02447366	eng-30-02447366-n	das	odwn
n02454379	eng-30-02454379-n	armadillo, gordeldier, pantserdier, schildvarken	odwn
n02457408	eng-30-02457408-n	drie luiaard, ai, Bradypus tridactylus	google_translate
n02480495	eng-30-02480495-n	orang-oetan, orang-oetan(g)	odwn
n02480855	eng-30-02480855-n	gorilla	odwn
n02481823	eng-30-02481823-n	chimpansee	odwn
n02483362	eng-30-02483362-n	gibbon, langarmaap, langarmapen	odwn
n02483708	eng-30-02483708-n	siamang, Hylobates syndactylus, Symphalangus syndactylus	google_translate
n02484975	eng-30-02484975-n	meerkat	odwn
n02486261	eng-30-02486261-n	patas, huzaar aap, Erythrocebus patas	google_translate
n02486410	eng-30-02486410-n	baviaan	odwn
n02487347	eng-30-02487347-n	makaak	odwn
n02488291	eng-30-02488291-n	langur	google_translate
n02488702	eng-30-02488702-n	colobus, colobusaap	google_translate
n02489166	eng-30-02489166-n	zuigorganenaap, Nasalis larvatus	google_translate
n02490219	eng-30-02490219-n	klauwaapje	odwn
n02492035	eng-30-02492035-n	kapucijn	odwn
n02492660	eng-30-02492660-n	miskleun, blunder, brulaap	odwn
n02493509	eng-30-02493509-n	titi, titi aap	google_translate
n02493793	eng-30-02493793-n	spin aap, Ateles geoffroyi	google_translate
n02494079	eng-30-02494079-n	doodshoofdaapje	odwn
n02497673	eng-30-02497673-n	Madagascar cat, ringstaartmaki, makicatta	google_translate
n02500267	eng-30-02500267-n	indri, INDRIS, indri indri, indri brevicaudatus	google_translate
n02504013	eng-30-02504013-n	Indische olifant, Elephas maximus	google_translate
n02504458	eng-30-02504458-n	afrikaanse olifant	odwn
n02509815	eng-30-02509815-n	pandabeer, panda	odwn
n02510455	eng-30-02510455-n	panda, reuzenpanda	odwn
n02514041	eng-30-02514041-n	barracouta, snoek	google_translate
n02526121	eng-30-02526121-n	paling	odwn
n02536864	eng-30-02536864-n	coho, Cohoe, cohozalm, blauw jack, zilveren zalm, Oncorhynchus kisutch	google_translate
n02606052	eng-30-02606052-n	hertogsvis, holocanthus tricolor	google_translate
n02607072	eng-30-02607072-n	anemoon vis	google_translate
n02640242	eng-30-02640242-n	steur	odwn
n02641379	eng-30-02641379-n	snoek, geep, zeilvissen	odwn
n02643566	eng-30-02643566-n	lionfish	google_translate
n02655020	eng-30-02655020-n	kogelvis	odwn
n02666196	eng-30-02666196-n	abacus, rekenraam, telraam	odwn
n02667093	eng-30-02667093-n	abaya	google_translate
n02669723	eng-30-02669723-n	academische toga, academische robe, rechter robe	google_translate
n02672831	eng-30-02672831-n	harmonica, accordeon	odwn
n02676566	eng-30-02676566-n	akoestische gitaar	odwn
n02687172	eng-30-02687172-n	carrier, vliegdekschip, vliegtuigmoederschip	odwn
n02690373	eng-30-02690373-n	passagiersvliegtuig, lijntoestel, lijnvliegtuig	odwn
n02692877	eng-30-02692877-n	luchtschip	odwn
n02699494	eng-30-02699494-n	altaar	google_translate
n02701002	eng-30-02701002-n	ambulance, ziekenwagen	odwn
n02704792	eng-30-02704792-n	amfibie, amfibievoertuig	odwn
n02708093	eng-30-02708093-n	Analoge klok	google_translate
n02727426	eng-30-02727426-n	bijenstal	odwn
n02730930	eng-30-02730930-n	dienschort, schoot, schort	odwn
n02747177	eng-30-02747177-n	vuilnisbak, vuilnisemmer, asbak	odwn
n02749479	eng-30-02749479-n	aanvalsgeweer	odwn
n02769748	eng-30-02769748-n	knapzak, ransel, rugzak	odwn
n02776631	eng-30-02776631-n	bakkerij	odwn
n02777292	eng-30-02777292-n	evenwichtsbalk	odwn
n02782093	eng-30-02782093-n	ballon	odwn
n02783161	eng-30-02783161-n	ballpoint, balpen, kogelpen	odwn
n02786058	eng-30-02786058-n	Pleister	google_translate
n02787622	eng-30-02787622-n	banjo	odwn
n02788148	eng-30-02788148-n	baluster, leuning, balustrade	odwn
n02790996	eng-30-02790996-n	halter	odwn
n02791124	eng-30-02791124-n	kappersstoel	google_translate
n02791270	eng-30-02791270-n	kapper	odwn
n02793495	eng-30-02793495-n	hooischuur	odwn
n02794156	eng-30-02794156-n	barometer, weerglas	odwn
n02795169	eng-30-02795169-n	fust, ton, vaatje, vat	odwn
n02797295	eng-30-02797295-n	kruiwagen	odwn
n02799071	eng-30-02799071-n	basketbal	google_translate
n02802426	eng-30-02802426-n	basketbal	odwn
n02804414	eng-30-02804414-n	wieg	google_translate
n02804610	eng-30-02804610-n	fagot	odwn
n02807133	eng-30-02807133-n	badmuts	odwn
n02808304	eng-30-02808304-n	badhanddoek	google_translate
n02808440	eng-30-02808440-n	bad, badkuip, teil, tobbe, wasteil, wastobbe	odwn
n02814533	eng-30-02814533-n	beach wagon, station wagon, wagon, stationwagen, strand wagen, station wagon, wagon	google_translate
